site_id,query,expected,with_correction,without_correction,changed
674,frambini,frambinini,frambini,frambini,False
674,вода святой источник,сахарозаменитель milford жидкий,вода святой источник,вода святой источник,False
674,бон пари,бон paris,бон paris,бон пари,True
674,подарочный набор чай гринфилд,подарочный набор чай greenfield,подарочный набор чай greenfield,подарочный набор чай гринфилд,True
674,голень куриная ашан золтая птица,голень куриная ашан золотая птица,голень куриная ашан золотая птица,голень куриная ашан золтая птица,True
674,бусы на елку,бусы елочное украшение,бусы елочное украшение,бусы на елку,True
674,яблоки целеста,яблоков celesta,яблоков celesta,яблоки целеста,True
674,колбаса сырокопченая нарезка150 грамм,колбаса сырокопченая нарезка 150 грамм,колбаса сырокопченая нарезка 150 грамм,колбаса сырокопченая нарезка150 грамм,True
674,водка белуга 6 л,водка белитровуга 6 л,водка белуга 6 л,водка белуга 6 л,False
674,Кукуруза,кукуруза млрлженая,кукуруза,кукуруза,False
674,звезда на елку,звезда елочное украшение,звезда елочное украшение,звезда на елку,True
674,Пельмени,наггетсы куриныепельмени,пельмени,пельмени,False
674,master gurme,master gourmet,master gourmet,master gurme,True
674,циокининовая паса для цвеов,циокининовая паса для цветов,циокининовая паса для цветов,циокининовая паса для цвеов,True
674,колбаса с плесенью,колбаса сырокопченая с плесенью,колбаса с плесенью,колбаса с плесенью,False
2056,teos,густой йогурт и творожки,густой йогурт и творожки,,True
2056,теос,густой йогурт и творожки,густой йогурт и творожки,,True
2056,панировочные сухари,панировочные сухарики,,,False
2056,Крупс,крупской,,,False
2056,пингви,pinguin,,,False
2056,йогурт гре,йогурт гречка,,,False
2056,fran,frank,,,False
2056,рот и,ротфронт и,,,False
2056,хое,ходе,,,False
2056,тру,true,,,False
2056,сухари панировочные,сухарики панировочные,,,False
2056,тар тар,тархун тар,,,False
2056,рот фронт,ротфронт фронт,,,False
2056,крем чиз,крем чизкейк,,,False
2056,Ава кадр,авокадо кадр,,,False
5631,Фреш бар,fresh баранки,fresh баранки,фреш бар,True
5631,ХОЛС,halls,halls,холс,True
5631,МАРМЕЛАД,мармеландия,мармеландия,мармелад,True
5631,кеф хуто,кефир хутор,кефир хутор,,True
5631,ПЕРВЫМ ДЕЛОМ ВОДА ПИТ. 0.5Л Б/Г,первым делом вода питание 0 5л б г,первым делом вода питание 0 5л б г,первым делом вода пит. 0.5л б/г,True
5631,джин тоник,джин тоника,,джин тоник,True
5631,гараж грейфрукт,garage грейпфрукт,garage грейпфрукт,гараж грейфрукт,True
5631,желе аппети,желе аппетитная,желе аппетитная,желе аппети,True
5631,Печенье овсяное для детей раннего возр. 50н Фруто Няня,печенье овсяное для детей раннего возр 50н фрутоняня няня,,,False
5631,конф коровка александровск,конфеты коровка александровский,конфеты коровка александровский,конф коровка александровск,True
5631,фреш бар,fresh баранки,fresh баранки,фреш бар,True
5631,мармелад 100,мармеландия 100,мармеландия 100,мармелад 100,True
5631,ФАСОЛЬ,фасулье,фасулье,фасоль,True
5631,литл энерджи,little energy,little energy,литл энерджи,True
5631,OP*N*GO СЕМЕЧКИ СОЛЕНЫЕ ОЧИЩ. 70Г СТАКАН1,op n go семечки соленые очищает 70г стакан1,,,False
6321,масло ,масло с,масло,масло,False
6321,масло с,масло сл,масло сырокопченый,масло с,True
6321,си,сиг,си,си,False
6321,гель ,гель дл,гель,гель,False
6321,то,тот,то,то,False
