query,site,type,notes,top_1,top_1_score,top_2,top_2_score,top_3,top_3_score,latency_ms,total_results,normalized_query,numeric_filters,judgement
ма,Store A,open,Mobile keystroke for butter/oil,,,,,,,33.32,0,ма,{},❌ NO_RESULTS
йогурт гр,Store A,open,Partial multi-word,Йогурт греческий черника «Mediterran» 140г,4.09,Йогурт греческий натуральный «Mykonos» 900г,4.09,Йогурт греческий без сахара «Ionian» 500г,4.09,20.27,22,йогурт гр,{},✅ RELEVANT
bon pa,Store A,open,Foreign brand transliteration,Мармелад жевательный ягодный «Bon Paris» 75г,4.76,Шоколад премиальный молочный «Bon Paris» 90г,4.76,Мармелад жевательный sour «Bon Paris» 150г,4.76,9.36,31,bon pa,{},✅ RELEVANT
холс,Store B,open,Brand typed in Cyrillic,,,,,,,8.35,0,холс,{},❌ NO_RESULTS
крем для рук,Store B,open,Full phrase but should tolerate prefixes,Крем для рук антибактериальный «Atelier Skin» 50мл,9.97,Крем для рук коллаген «Atelier Skin» 50мл,9.97,Крем для рук коллаген «Herbal Line» 100мл,9.97,14.15,175,крем для рук,{},✅ RELEVANT
масло раст 10л,Store C,open,B2B volume intent,Масло подсолнечное premium «Южное» 900мл,6.2,Масло подсолнечное premium «Helio» 10000мл,6.2,Масло подсолнечное premium «Helio» 500мл,6.2,10.05,67,масло раст 10л,{},✅ RELEVANT
кар тофель,Store D,open,Broken spacing,,,,,,,7.44,0,кар тофель,{},❌ NO_RESULTS
xfq,Store E,open,Wrong keyboard layout for чай,Чай листовой чёрный «Samokat» 90г,3.96,Чай листовой матча «Ahmad» 75г,3.96,Чай листовой улун «Ahmad» 250г,3.96,9.29,19,xfq,{},✅ RELEVANT
adapter usb c,Store E,open,English technical query,Адаптер USB-C 35W «TechNode» 1шт,9.12,Адаптер USB-C 65W «ChargeLab» 1шт,9.12,Адаптер USB-C gan «VoltEdge» 1шт,9.12,9.58,49,adapter usb c,{},✅ RELEVANT
pr,Store F,open,Wine prefix (prosecco/premium),,,,,,,8.29,0,pr,{},❌ NO_RESULTS
riesling mos,Store F,open,Region-specific wine,Вино игристое riesling mosel «Rieslinghaus» 750мл,5.2,Вино игристое riesling mosel «Rieslinghaus» 1500мл,5.2,Вино игристое riesling mosel «Premium Cellar» 750мл,4.87,9.49,19,riesling mos,{},✅ RELEVANT
памперсы 3,Store D,open,Size constraint,Подгузники детские размер 3 «EcoBaby» 60шт,5.99,Подгузники детские размер 3 «EcoBaby» 32шт,5.99,Подгузники детские premium «Huggsy» 26шт,4.36,9.3,17,памперсы 3,{},✅ RELEVANT
масло сл,Store A,open,Two-letter stop,Масло сливочное безлактозное «Teos» 1кг,2.91,Масло сливочное премиум «Teos» 200г,2.91,Масло сливочное безлактозное «Teos» 1кг,2.91,8.86,67,масло сл,{},✅ RELEVANT
филе инд,Store A,open,Protein intent,Рыба минтай блок филе «ChefPro» 5кг,4.14,Рыба минтай блок филе «HoReCaFish» 10кг,4.14,Рыба минтай блок филе «HoReCaFish» 10кг,4.14,8.33,21,филе инд,{},✅ RELEVANT
teos,Store A,open,Brand prefix,Масло сливочное безлактозное «Teos» 1кг,5.01,Йогурт греческий персик «Teos» 900г,5.01,Йогурт греческий черника «Teos» 140г,5.01,8.23,11,teos,{},✅ RELEVANT
греч не,Store C,open,Cyrillic split,,,,,,,7.63,0,греч не,{},❌ NO_RESULTS
prosecco ro,Store F,open,Latin multi-word,Вино игристое prosecco «Prosecco Alto» 1500мл,6.72,Вино игристое prosecco «Prosecco Alto» 750мл,6.72,Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл,5.19,9.13,19,prosecco ro,{},✅ RELEVANT
джин то,Store F,open,Cocktail ingredient,Джин премиальный grapefruit «Nordic Gin» 1000мл,4.07,Джин премиальный grapefruit «Nordic Gin» 1000мл,4.07,Джин премиальный grapefruit «Garage Barrel» 500мл,4.07,8.04,17,джин то,{},✅ RELEVANT
хозяйст мыло,Store D,open,Household goods,,,,,,,7.93,0,хозяйст мыло,{},❌ NO_RESULTS
power bank 20,Store E,open,Numeric suffix,Power Bank slim «HyperCell» 1шт,8.14,Power Bank wireless «HyperCell» 1шт,8.14,Power Bank 20000mAh «HyperCell» 1шт,8.14,8.9,23,power bank 20,{},✅ RELEVANT
сыр гауда,Store C,open,Category + brand,Сыр гауда кусок «ChefPro» 2кг,7.71,Сыр гауда для сендвичей «ChefPro» 200г,7.71,Сыр гауда кусок «Dutch Yard» 200г,7.19,9.13,47,сыр гауда,{},✅ RELEVANT
diap night,Store D,open,Latin shortcut for diapers,,,,,,,7.96,0,diap night,{},❌ NO_RESULTS
cat adult,Store C,open,Pet food intent,Корм для кошек сухой adult «NordPet» 1500г,7.72,Корм для кошек сухой adult «NordPet» 400г,7.72,Корм для кошек сухой adult «CatCraft» 1500г,7.72,8.75,21,cat adult,{},✅ RELEVANT
dog hypo,Store C,open,Hypoallergenic dog food,Корм для собак гипоаллергенный grain free «VetPro» 1500г,6.64,Корм для собак гипоаллергенный salmon «NordPet» 1500г,6.64,Корм для собак гипоаллергенный salmon «NordPet» 800г,6.64,8.98,29,dog hypo,{},✅ RELEVANT
san pelle,Store F,open,Sparkling water brand,Минеральная вода citrus «San Pellegrino» 1.5л,6.5,,,,,7.81,1,san pelle,{},✅ RELEVANT
посуд моющ,Store D,open,Abbreviated dish soap,Средство для мытья посуды лимон «BioClean» 750мл,4.07,Средство для мытья посуды концентрат «BioClean» 1500мл,4.07,Средство для мытья посуды эко «AllDish» 1500мл,4.07,8.43,17,посуд моющ,{},✅ RELEVANT
лампа led е27,Store E,open,Mixed alphabet technical,Лампа LED E27 «Volt» 4шт,8.85,Лампа LED E27 «EcoLight» 2шт,8.85,Лампа LED E27 «Volt» 4шт,8.85,9.51,16,лампа led е27,{},✅ RELEVANT
мешки 120л,Store D,open,Trash bags with volume,Пакеты для мусора 120л «CleanUp» 30шт,5.23,Пакеты для мусора 120л «DailyFix» 15шт,5.23,Пакеты для мусора 120л «StrongHold» 50шт,5.23,8.75,5,мешки 120л,{},✅ RELEVANT
круп греч,Store C,open,Abbreviated grocery,,,,,,,8.14,0,круп греч,{},❌ NO_RESULTS
рыба фил,Store B,open,Frozen fish block,Рыба минтай блок филе «ChefPro» 5кг,4.14,Рыба минтай блок филе «HoReCaFish» 10кг,4.14,Рыба минтай блок без глазури «ChefPro» 5кг,4.14,9.33,39,рыба фил,{},✅ RELEVANT
