site_id,original_term,expanded_term,zero_hits,whitelist_status,current_correction,recommended_action
674,frambini,frambinini,38,missing,,Add-whitelist
674,вода святой источник,сахарозаменитель milford жидкий,22,missing,,Add-whitelist
674,бон пари,бон paris,11,missing,,Add-whitelist
674,подарочный набор чай гринфилд,подарочный набор чай greenfield,10,missing,,Add-whitelist
674,голень куриная ашан золтая птица,голень куриная ашан золотая птица,9,missing,,Add-whitelist
674,бусы на елку,бусы елочное украшение,8,missing,,Add-whitelist
674,яблоки целеста,яблоков celesta,7,missing,,Add-whitelist
674,колбаса сырокопченая нарезка150 грамм,колбаса сырокопченая нарезка 150 грамм,7,missing,,Add-whitelist
674,водка белуга 6 л,водка белитровуга 6 л,6,missing,,Add-whitelist
674,Кукуруза,кукуруза млрлженая,6,missing,,Add-whitelist
674,звезда на елку,звезда елочное украшение,6,missing,,Add-whitelist
674,Пельмени,наггетсы куриныепельмени,5,missing,,Add-whitelist
674,master gurme,master gourmet,5,missing,,Add-whitelist
674,циокининовая паса для цвеов,циокининовая паса для цветов,5,missing,,Add-whitelist
674,колбаса с плесенью,колбаса сырокопченая с плесенью,5,missing,,Add-whitelist
674,similac gold 1,similac gold 1200,5,missing,,Add-whitelist
674,Кофе 3 в 1,кофе 3 в 11,5,missing,,Add-whitelist
674,Туалетная бумага,томатный концентрат,5,missing,,Add-whitelist
674,Frambini,frambinini,5,missing,,Add-whitelist
674,Proplan,pro plan,4,missing,,Add-whitelist
674,бура,буратто,4,missing,,Add-whitelist
674,Киндер набор,киндеров набор,4,missing,,Add-whitelist
674,конфеты в коробке новосибирс,конфеты в коробке новосибирской,4,missing,,Add-whitelist
674,spc напольное покрыие,spc напольное покрытие,4,missing,,Add-whitelist
674,бонпари,бон paris,4,missing,,Add-whitelist
674,конфеты помадка в корбке,конфеты помадка в коробке,4,missing,,Add-whitelist
674,для садовых инс,для садовых ин с,4,missing,,Add-whitelist
674,матрас топер 120х200,матрас топпер 120х200,4,missing,,Add-whitelist
674,наконечник на елку,наконечник елочное украшение,4,missing,,Add-whitelist
674,колбаски варено копченые,колбаски вареная копченые,4,missing,,Add-whitelist
674,жир курдючий,жир курдючный,4,missing,,Add-whitelist
674,кофе 3 в 1,кофе 3 в 11,4,missing,,Add-whitelist
674,гирлянда 100 метро уличная 100метров,гирлянда 100 метро уличная 100 метров,4,missing,,Add-whitelist
674,распродажа,распродажа599,4,missing,,Add-whitelist
674,трусы женкие 66 размера,6трусы женкие 66 размера,4,missing,,Add-whitelist
674,вискас 1.9 кг,whiskas 1 9 кг,4,missing,,Add-whitelist
674,Салфетки для стола,ши елочное украшение,4,missing,,Add-whitelist
674,краска для волос provocator or,краска для волос provocateur or,3,missing,,Add-whitelist
674,водка немиров,водка nemiroff,3,missing,,Add-whitelist
674,амои,аморои,3,missing,,Add-whitelist
674,Халат детски,халат детский,3,missing,,Add-whitelist
674,ручки стир,ручки стиральный,3,missing,,Add-whitelist
674,гном ново,гном новогодний,3,missing,,Add-whitelist
674,сало с можевельником,сало с можжевельником,3,missing,,Add-whitelist
674,сковородка антипригарная 2сковорода с крышкой4,сковородка антипригарная 2сковорода с крышкой 4,3,missing,,Add-whitelist
674,йогурты,теплое кофе,3,missing,,Add-whitelist
674,наматрасник 180,наматрасник 180х200,3,missing,,Add-whitelist
674,Ollin,olline,3,missing,,Add-whitelist
674,корден блю,корден blue,3,missing,,Add-whitelist
674,тонометр,тонометра,3,missing,,Add-whitelist
2056,teos,густой йогурт и творожки,4359,missing,,Add-whitelist
2056,мороз,морозко,3792,present,морозко,Investigate-existing
2056,рот,ротфронт,2822,present,ротфронт,Investigate-existing
2056,теос,густой йогурт и творожки,2805,missing,,Add-whitelist
2056,панировочные сухари,панировочные сухарики,2308,missing,,Add-whitelist
2056,бурата,буратта,1586,present,буратта,Investigate-existing
2056,бура,буратта,1471,present,буратта,Investigate-existing
2056,чебу,чебуреки,1349,present,чебуреки,Investigate-existing
2056,халуми,халумис,1278,present,халумис,Investigate-existing
