query,site,type,notes,top_1,top_1_score,top_2,top_2_score,top_3,top_3_score,top_4,top_4_score,top_5,top_5_score,latency_ms,total_results,normalized_query,numeric_filters,judgement
ма,Store A,open,Mobile keystroke for butter/oil,,,,,,,,,,,13.18,0,ма,{},❌ NO_RESULTS
йогурт гр,Store A,open,Partial multi-word,Йогурт греческий черника «Mediterran» 140г,4.09,Йогурт греческий натуральный «Mykonos» 900г,4.09,Йогурт греческий без сахара «Ionian» 500г,4.09,Йогурт греческий черника «Mediterran» 140г,4.09,Йогурт греческий персик «Mediterran» 900г,4.09,12.84,22,йогурт гр,{},✅ RELEVANT
bon pa,Store A,open,Foreign brand transliteration,Мармелад жевательный ягодный «Bon Paris» 75г,4.76,Шоколад премиальный молочный «Bon Paris» 90г,4.76,Мармелад жевательный sour «Bon Paris» 150г,4.76,Мармелад жевательный sour «Bon Paris» 90г,4.76,Шоколад премиальный 70% «Bon Paris» 90г,4.76,11.2,31,bon pa,{},✅ RELEVANT
холс,Store B,open,Brand typed in Cyrillic,,,,,,,,,,,8.22,0,холс,{},❌ NO_RESULTS
крем для рук,Store B,open,Full phrase but should tolerate prefixes,Крем для рук антибактериальный «Atelier Skin» 50мл,9.97,Крем для рук коллаген «Atelier Skin» 50мл,9.97,Крем для рук коллаген «Herbal Line» 100мл,9.97,Крем для рук витамин Е «Nordic Care» 75мл,9.97,Крем для рук питательный «Care&Go» 100мл,9.97,13.66,175,крем для рук,{},✅ RELEVANT
масло раст 10л,Store C,open,B2B volume intent,Масло подсолнечное premium «Южное» 900мл,6.2,Масло подсолнечное premium «Helio» 10000мл,6.2,Масло подсолнечное premium «Helio» 500мл,6.2,Масло подсолнечное для HoReCa «ChefPro» 3000мл,6.2,Масло подсолнечное рафинированное «Helio» 900мл,6.2,14.66,67,масло раст 10л,{},✅ RELEVANT
кар тофель,Store D,open,Broken spacing,,,,,,,,,,,10.56,0,кар тофель,{},❌ NO_RESULTS
xfq,Store E,open,Wrong keyboard layout for чай,Чай листовой чёрный «Samokat» 90г,3.96,Чай листовой матча «Ahmad» 75г,3.96,Чай листовой улун «Ahmad» 250г,3.96,Чай листовой жасмин «Greenfield» 250г,3.96,Чай листовой жасмин «Greenfield» 75г,3.96,10.13,19,xfq,{},✅ RELEVANT
adapter usb c,Store E,open,English technical query,Адаптер USB-C 35W «TechNode» 1шт,9.12,Адаптер USB-C 65W «ChargeLab» 1шт,9.12,Адаптер USB-C gan «VoltEdge» 1шт,9.12,Адаптер USB-C gan «TechNode» 1шт,9.12,Адаптер USB-C travel «TechNode» 1шт,9.12,11.28,49,adapter usb c,{},✅ RELEVANT
pr,Store F,open,Wine prefix (prosecco/premium),,,,,,,,,,,8.4,0,pr,{},❌ NO_RESULTS
riesling mos,Store F,open,Region-specific wine,Вино игристое riesling mosel «Rieslinghaus» 750мл,5.2,Вино игристое riesling mosel «Rieslinghaus» 1500мл,5.2,Вино игристое riesling mosel «Premium Cellar» 750мл,4.87,Вино игристое riesling mosel «Mosel Craft» 1500мл,4.87,Вино игристое riesling mosel «Mosel Craft» 750мл,4.87,11.38,19,riesling mos,{},✅ RELEVANT
памперсы 3,Store D,open,Size constraint,Подгузники детские размер 3 «EcoBaby» 60шт,5.99,Подгузники детские размер 3 «EcoBaby» 32шт,5.99,Подгузники детские premium «Huggsy» 26шт,4.36,Подгузники детские для чувствительной кожи «Huggsy» 60шт,4.36,Подгузники детские premium «EcoBaby» 40шт,4.36,12.3,17,памперсы 3,{},✅ RELEVANT
масло сл,Store A,open,Two-letter stop,Масло сливочное безлактозное «Teos» 1кг,2.91,Масло сливочное премиум «Teos» 200г,2.91,Масло сливочное безлактозное «Teos» 1кг,2.91,Масло сливочное традиционное 82% «Teos» 1кг,2.91,Масло сливочное безлактозное «Teos» 1кг,2.91,14.57,67,масло сл,{},✅ RELEVANT
филе инд,Store A,open,Protein intent,Рыба минтай блок филе «ChefPro» 5кг,4.14,Рыба минтай блок филе «HoReCaFish» 10кг,4.14,Рыба минтай блок филе «HoReCaFish» 10кг,4.14,Рыба минтай блок филе «HoReCaFish» 5кг,4.14,Филе грудки индейки HoReCa «FarmLine» 5кг,3.86,10.82,21,филе инд,{},✅ RELEVANT
teos,Store A,open,Brand prefix,Масло сливочное безлактозное «Teos» 1кг,5.01,Йогурт греческий персик «Teos» 900г,5.01,Йогурт греческий черника «Teos» 140г,5.01,Масло сливочное премиум «Teos» 200г,5.01,Масло сливочное безлактозное «Teos» 1кг,5.01,12.03,11,teos,{},✅ RELEVANT
греч не,Store C,open,Cyrillic split,,,,,,,,,,,7.26,0,греч не,{},❌ NO_RESULTS
prosecco ro,Store F,open,Latin multi-word,Вино игристое prosecco «Prosecco Alto» 1500мл,6.72,Вино игристое prosecco «Prosecco Alto» 750мл,6.72,Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл,5.19,Вино игристое rose «Prosecco Alto» 1500мл,5.19,Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл,5.19,8.57,19,prosecco ro,{},✅ RELEVANT
джин то,Store F,open,Cocktail ingredient,Джин премиальный grapefruit «Nordic Gin» 1000мл,4.07,Джин премиальный grapefruit «Nordic Gin» 1000мл,4.07,Джин премиальный grapefruit «Garage Barrel» 500мл,4.07,Джин премиальный grapefruit «Nordic Gin» 700мл,4.07,Джин премиальный grapefruit «Volt Spirit» 1000мл,4.07,7.92,17,джин то,{},✅ RELEVANT
хозяйст мыло,Store D,open,Household goods,,,,,,,,,,,7.5,0,хозяйст мыло,{},❌ NO_RESULTS
