site_id,site_name,query,correction,reason
2056,Samokat,рондо,rondo,latin_in_corr
2056,Samokat,м м демс,m&m's,latin_in_corr
2056,Samokat,ай фона,iphone,latin_in_corr
2056,Samokat,grekos,греческий йогурт,cyril_added
2056,Samokat,aktivia,активиа,cyril_added
2056,Samokat,rfmfxrb,кабачки,cyril_added
2056,Samokat,polenghi,макароны детские,cyril_added
2056,Samokat,yankee candle,ароматическая свеча,cyril_added
2056,Samokat,ацидобифилин,ацидобифилин,equal
2056,Samokat,ayran,айран,cyril_added
2056,Samokat,neft,нефть,cyril_added
2056,Samokat,barbaris,барбарис,cyril_added
2056,Samokat,moskovskaya,московская,cyril_added
2056,Samokat,santi,санте,cyril_added
2056,Samokat,kapuchino,капучино,cyril_added
2056,Samokat,адрик,adrenaline rush,latin_in_corr
2056,Samokat,kislomolochniy,кисломолочный,cyril_added
2056,Samokat,kislo,кисло,cyril_added
2056,Samokat,андреналинраш,adrenaline rush,latin_in_corr
2056,Samokat,адраш,adrenaline rush,latin_in_corr
2164,Dixy Web,ekzo,экzo,cyril_added
2164,Dixy Web,тесс,tess,latin_in_corr
2164,Dixy Web,рондо,rondo,latin_in_corr
2164,Dixy Web,м м демс,m&m's,latin_in_corr
2164,Dixy Web,валио,valio,latin_in_corr
2164,Dixy Web,пармалат,parmalat,latin_in_corr
2164,Dixy Web,магги,maggi,latin_in_corr
2164,Dixy Web,smirnoff,водка,cyril_added
2164,Dixy Web,grekos,греческий йогурт,cyril_added
2164,Dixy Web,yogurt,йогурт,cyril_added
2164,Dixy Web,aktivia,активиа,cyril_added
2164,Dixy Web,vodka,водка,cyril_added
2164,Dixy Web,rfmfxrb,кабачки,cyril_added
2164,Dixy Web,велле,velle,latin_in_corr
2164,Dixy Web,yankee candle,ароматическая свеча,cyril_added
2164,Dixy Web,лейс,lay's,latin_in_corr
2164,Dixy Web,кофе нескафе,кофе nescafe,latin_in_corr
2164,Dixy Web,barbaris,барбарис,cyril_added
2164,Dixy Web,moskovskaya,московская,cyril_added
2164,Dixy Web,kapuchino,капучино,cyril_added
5631,Dixy B2B,ekzo,экzo,cyril_added
5631,Dixy B2B,тесс,tess,latin_in_corr
5631,Dixy B2B,рондо,rondo,latin_in_corr
5631,Dixy B2B,м м демс,m&m's,latin_in_corr
5631,Dixy B2B,хаме,hame,latin_in_corr
5631,Dixy B2B,алпро,alpro,latin_in_corr
5631,Dixy B2B,валио,valio,latin_in_corr
5631,Dixy B2B,пармалат,parmalat,latin_in_corr
5631,Dixy B2B,магги,maggi,latin_in_corr
5631,Dixy B2B,smirnoff,водка,cyril_added
5631,Dixy B2B,grekos,греческий йогурт,cyril_added
5631,Dixy B2B,yogurt,йогурт,cyril_added
5631,Dixy B2B,aktivia,активиа,cyril_added
5631,Dixy B2B,vodka,водка,cyril_added
5631,Dixy B2B,rfmfxrb,кабачки,cyril_added
5631,Dixy B2B,велле,velle,latin_in_corr
5631,Dixy B2B,polenghi,макароны детские,cyril_added
5631,Dixy B2B,yankee candle,ароматическая свеча,cyril_added
